algorithm UnboxedVector BoxedVector FunctorLazy FunctorLazy(+1)
"  heap sort" 1.05e-3 2.05e-3 7.6e-3 7.2e-3
"  intro sort" 1.18e-3 1.75e-3 2.89e-3 2.8e-3
"  radix sort" 0.438e-3 1.218e-3 1.52e-3 1.63e-3
